method,user_id,interests,preferred_sources,train_history_size,test_ground_truth_size,CategoryDiversity,SourceDiversity,EmbeddingDiversity,Novelty,Precision@5,Recall@5,HitRate@5,NDCG@5,MAP@5,MRR@5,Precision@10,Recall@10,HitRate@10,NDCG@10,MAP@10,MRR@10,Precision@20,Recall@20,HitRate@20,NDCG@20,MAP@20,MRR@20,CatalogCoverage
Hybrid,fake_user_0000,Thời sự,"thanhnien, baomoi",9,10,0.05,0.1,0.2864375710487366,3.1759101663503193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.04780278882885319,0.005,0.05,0.5494919081671058
Hybrid,fake_user_0001,Sức khỏe,kenh14,13,10,0.05,0.15,0.5931654572486877,4.256641437009273,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.07506167179463037,0.0125,0.125,0.2,0.4,1.0,0.24308147810966965,0.07728815302344713,0.125,0.5494919081671058
Hybrid,fake_user_0002,Khác,baomoi,16,10,0.05,0.15,0.5257392525672913,3.438944571923348,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.09627022739097386,0.016666666666666666,0.16666666666666666,0.05,0.1,1.0,0.09627022739097386,0.016666666666666666,0.16666666666666666,0.5494919081671058
Hybrid,fake_user_0003,"Pháp luật, Khác, Giáo dục","baomoi, kenh14",11,10,0.1,0.15,0.46477067470550537,3.703340070569003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0004,"Thể thao, Văn hóa",vietnamnet,24,10,0.1,0.1,0.4640427231788635,3.424174363363838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,0.11270998575146952,0.022424242424242423,0.09090909090909091,0.5494919081671058
Hybrid,fake_user_0005,"Kinh tế, Đời sống","vietnamnet, baomoi",8,10,0.15,0.15,0.45932531356811523,3.282158292917388,0.2,0.1,1.0,0.15875065442177033,0.06666666666666667,0.3333333333333333,0.1,0.1,1.0,0.10577759394896821,0.03333333333333333,0.3333333333333333,0.05,0.1,1.0,0.10577759394896821,0.03333333333333333,0.3333333333333333,0.5494919081671058
Hybrid,fake_user_0006,"Kinh tế, Pháp luật, Du lịch","vietnamnet, kenh14",23,10,0.1,0.15,0.5440913140773773,3.2481121854314794,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0802482110915161,0.0125,0.125,0.05,0.1,1.0,0.0802482110915161,0.0125,0.125,0.5494919081671058
Hybrid,fake_user_0007,Thời sự,vietnamnet,12,10,0.05,0.1,0.2597522735595703,3.1759101663503193,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06297738214450194,0.01111111111111111,0.1111111111111111,0.1,0.2,1.0,0.11875409454919485,0.024444444444444442,0.1111111111111111,0.5494919081671058
Hybrid,fake_user_0008,Kinh tế,"vietnamnet, thanhnien",9,10,0.05,0.15,0.5945946574211121,3.230924268304123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0009,"Văn hóa, Đời sống","thanhnien, vietnamnet",21,10,0.1,0.15,0.35417479276657104,3.3314196966030623,0.4,0.2,1.0,0.3236053389270106,0.18,0.5,0.2,0.2,1.0,0.2166322279565277,0.09,0.5,0.1,0.2,1.0,0.2166322279565277,0.09,0.5,0.5494919081671058
